1879,1670,1292,4852
1886,2076,1004,5128
1893,2548,742,5264
1900,3058,470,5308
1907,3522,318,5570
1914,3916,240,5850
1921,4476,258,5886
1928,4824,200,6114
1934,5072,248,6418
1941,5466,330,6720
1948,5758,432,7088
1955,6108,750,7934
1962,6784,634,8188
1969,7120,342,7526
1977,7020,-166,6156
1983,6308,-564,4526
1990,5820,-914,3506
1997,6264,-1050,3054
2004,6772,-1280,2548
2011,6530,-1676,2268
2018,6320,-1510,4940
2025,8000,-756,9328
2032,10514,-334,14152
2039,12230,-250,16868
2045,13014,-150,16920
2052,12656,68,15336
2059,12186,-6,13536
2066,12440,-202,12250
2073,13212,-660,11730
2080,14358,-920,11990
2087,15410,-618,11436
2094,15998,-242,10434
2101,16132,412,9206
2108,16012,1276,8270
2115,16116,1780,7300
2122,15936,2046,6036
2129,15600,2094,4788
2135,15590,2338,3860
2142,15586,3082,2692
2149,15382,3454,1032
2156,15102,3692,-688
2163,14894,3812,-2160
2170,14974,4016,-3338
2177,14776,4372,-4158
2184,14492,4548,-4344
2191,14148,4618,-4278
2198,14062,4878,-4632
2205,12798,4184,-3302
2212,12356,3364,-3350
2219,23026,-6792,-7904
2226,6166,-5440,1558
2233,2832,700,-326
2239,9410,6408,7312
2246,-13852,3280,6892
2253,-8774,1478,2122
2260,-2164,5688,4116
2267,5844,11352,5410
2274,3830,13618,9202
2281,-958,12788,7732
2288,1916,13136,12980
2295,5328,-3310,20112
2302,7114,-4032,32767
2309,32767,9652,-116
2316,-13310,2830,13558
2323,1640,6828,9810
2329,-134,-2616,6810
2336,2050,-2518,4494
2343,4904,1832,9620
2350,3208,-1248,7056
2357,3318,142,7994
2364,2980,1442,8306
2371,3460,1316,8324
2378,2912,1462,8046
2385,2534,956,7570
2392,2628,546,7462
2399,2440,426,7478
2406,2250,308,7154
2413,2220,324,7166
2419,2232,274,7184
2427,2108,260,7142
2435,2226,434,7290
2441,2214,722,7276
2448,2202,764,7258
2455,2190,430,7210
