1906,3396,-934,7242
1914,3688,-982,7272
1920,3884,-1022,7164
1927,3930,-944,6942
1934,3862,-898,6672
1941,3906,-756,6312
1948,3848,-620,6098
1955,4028,-552,6026
1962,4222,-470,6178
1969,4340,-510,6194
1976,4386,-530,6188
1983,4386,-534,6148
1990,4322,-592,6100
1997,4198,-580,5858
2004,4052,-634,5800
2011,3940,-486,5752
2018,3864,-440,5746
2025,3774,-294,5874
2032,3808,-242,5984
2039,3876,-126,6184
2045,3762,-196,6258
2052,3808,-210,6270
2059,3904,-344,6326
2066,3926,-518,6606
2073,4092,-590,6688
2080,4076,-634,6644
2087,4014,-600,6474
2094,3754,-594,6002
2101,3530,-558,5802
2108,3388,-494,5544
2115,3342,-448,5488
2122,3412,-382,5460
2130,3360,-376,5522
2136,3362,-404,5626
2143,3388,-472,5824
2150,3472,-544,6022
2157,3528,-664,6136
2164,3486,-748,6118
2170,3328,-760,6208
2178,3416,-896,6250
2184,3402,-932,6272
2191,6044,-190,5566
2198,708,-3080,9636
2205,-990,1094,4602
2212,-520,-2232,6740
2219,844,-1480,7294
2226,932,-1258,7100
2234,1024,-766,6300
2240,1328,422,5828
2247,2114,1476,7050
2254,3488,1920,9860
2261,3814,5242,15226
2268,10104,-6134,12148
2275,4592,-4728,8856
2282,376,310,4710
2289,142,-1354,5498
2296,2266,-460,8722
2303,2636,-134,8756
2309,3726,-1904,8072
2316,2520,-2572,7210
2323,2316,-2718,7310
2330,2374,-1120,7810
2337,1930,-350,7350
2344,2138,-730,7214
2351,2286,-1190,7422
2359,2246,-382,7810
2365,2246,-630,7456
2372,2012,-584,7332
2379,2070,-762,7280
2386,2088,-790,7398
2393,2132,-770,7336
2400,2096,-596,7310
2407,2004,-702,7298
2414,2092,-598,7244
2421,2062,-784,7356
2428,1998,-574,7268
2435,1814,-642,7124
2441,1878,-738,7144
2448,1918,-674,7320
2455,2006,-590,7398
2463,2126,-706,7382
2469,2004,-766,7316
2476,1966,-830,7208
2483,2028,-948,7198
2490,1840,-822,7268
2497,1766,-904,7010
2504,1810,-974,7038
2511,2112,-1014,7182
2518,2078,-1018,7238
2525,2022,-76,7030
2531,1700,-796,7154
2540,1928,-970,7074
2545,2002,-920,7076
2552,1986,-880,7162
2559,1966,-946,7078
2566,2078,-856,7262
2573,2074,-738,7308
2580,2080,-708,7200
2588,1958,-830,7152
2594,1484,-1018,6730
2601,1990,-806,6908
2608,1944,-860,7092
2615,1902,-786,7140
2622,1928,-984,7152
2629,2040,-990,7144
2636,2012,-954,7062
2643,1940,-986,6984
2650,1962,-916,7052
2656,2074,-860,7214
2663,2028,-868,7120
2670,2050,-834,7186
2677,1994,-840,7218
2684,1958,-984,7174
2692,2032,-924,7278
2698,2014,-850,7272
2705,2036,-950,7104
2712,1940,-948,7172
2719,1944,-1008,7130
2726,2048,-934,7132
2733,2026,-914,7218
2740,2042,-884,7056
2747,1972,-914,7102
2754,1968,-870,7118
2761,1914,-882,7030
2768,1838,-956,6990
2775,1928,-984,7084
2782,2006,-822,7184
2789,1956,-848,7138
2796,2002,-972,7086
2802,2052,-932,7148
2809,2124,-810,7162
2817,2006,-916,7230
2823,1942,-954,7048
2830,1992,-902,7064
2837,1770,-898,6934
2844,1826,-964,7058
2851,1908,-1032,7070
2858,1844,-1036,7022
2865,1868,-984,7094
2872,1990,-920,7196
2879,2104,-944,7236
2886,2064,-1042,7192
2893,2060,-832,7198
2900,2024,-838,7092
